,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW]
353,5.0,3350.0,2.0,295.0,1880.0,80.0,58.0
354,5.0,3401.0,2.0,294.0,1854.0,83.0,58.0
355,5.0,3390.0,2.0,295.0,1879.0,68.0,60.0
356,5.0,3425.0,2.0,295.0,1834.0,75.0,63.0
357,5.0,3509.0,2.0,293.0,1646.0,59.0,62.0
358,5.0,3506.0,2.0,240.0,1472.0,15.0,61.0
359,5.0,3459.0,2.0,218.0,1477.0,0.0,59.0
360,5.0,3458.0,2.0,20.0,1434.0,0.0,60.0
361,5.0,3397.0,2.0,0.0,1188.0,0.0,60.0
362,5.0,3387.0,2.0,0.0,894.0,0.0,60.0
363,5.0,3407.0,2.0,0.0,667.0,0.0,60.0
364,5.0,3392.0,2.0,0.0,590.0,0.0,59.0
365,5.0,3336.0,2.0,0.0,806.0,0.0,59.0
366,5.0,3396.0,2.0,0.0,1473.0,0.0,59.0
367,5.0,3351.0,2.0,142.0,1782.0,0.0,58.0
368,5.0,3376.0,2.0,207.0,1776.0,0.0,57.0
369,5.0,3355.0,2.0,295.0,1823.0,0.0,58.0
370,5.0,3301.0,2.0,343.0,1832.0,0.0,57.0
371,5.0,3241.0,2.0,407.0,1809.0,0.0,57.0
372,5.0,3201.0,2.0,589.0,1596.0,48.0,58.0
373,5.0,3195.0,2.0,585.0,1487.0,42.0,58.0
374,5.0,3265.0,2.0,488.0,1502.0,26.0,58.0
375,5.0,3324.0,2.0,395.0,1511.0,26.0,59.0
376,5.0,3403.0,2.0,518.0,1589.0,26.0,59.0
377,5.0,3461.0,2.0,502.0,1756.0,26.0,59.0
378,5.0,3465.0,2.0,488.0,1750.0,26.0,59.0
379,5.0,3490.0,2.0,396.0,1788.0,26.0,63.0
380,5.0,3492.0,2.0,215.0,1721.0,31.0,66.0
381,5.0,3376.0,2.0,200.0,1558.0,49.0,65.0
382,5.0,3070.0,2.0,230.0,1598.0,33.0,64.0
383,5.0,3118.0,2.0,200.0,1463.0,26.0,64.0
384,5.0,3085.0,2.0,196.0,1366.0,26.0,64.0
385,5.0,3174.0,2.0,0.0,1260.0,0.0,62.0
386,5.0,3297.0,2.0,0.0,800.0,0.0,62.0
387,5.0,3261.0,2.0,0.0,597.0,0.0,61.0
388,5.0,3251.0,2.0,0.0,535.0,0.0,60.0
389,5.0,3214.0,2.0,0.0,700.0,0.0,60.0
390,5.0,3245.0,2.0,169.0,1481.0,0.0,59.0
391,5.0,3174.0,2.0,237.0,1652.0,88.0,59.0
392,5.0,3139.0,2.0,293.0,1721.0,128.0,58.0
393,5.0,3162.0,2.0,293.0,1747.0,129.0,60.0
394,5.0,3148.0,2.0,293.0,1736.0,142.0,59.0
395,5.0,3122.0,2.0,293.0,1768.0,127.0,59.0
396,5.0,3085.0,2.0,294.0,1806.0,153.0,59.0
397,5.0,3120.0,2.0,294.0,1747.0,186.0,59.0
398,5.0,3160.0,2.0,294.0,1722.0,151.0,56.0
399,5.0,3175.0,2.0,294.0,1761.0,135.0,58.0
400,5.0,3190.0,2.0,356.0,1826.0,134.0,58.0
401,5.0,3181.0,2.0,590.0,1793.0,136.0,58.0
402,5.0,3219.0,2.0,585.0,1791.0,138.0,58.0
403,5.0,3239.0,2.0,490.0,1691.0,138.0,60.0
404,5.0,3288.0,2.0,434.0,1446.0,138.0,64.0
405,5.0,3272.0,2.0,395.0,1422.0,136.0,64.0
406,5.0,3250.0,2.0,203.0,1437.0,76.0,62.0
