,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
442,76.0,931.0,627.0,88.0,4.0
443,76.0,933.0,627.0,88.0,2.0
444,76.0,933.0,628.0,88.0,0.0
445,77.0,931.0,627.0,89.0,0.0
446,80.0,829.0,720.0,89.0,0.0
447,83.0,714.0,983.0,89.0,2.0
448,86.0,713.0,1001.0,90.0,3.0
449,86.0,713.0,994.0,90.0,3.0
450,83.0,713.0,906.0,90.0,0.0
451,80.0,711.0,694.0,90.0,0.0
452,78.0,706.0,691.0,90.0,1.0
453,78.0,617.0,606.0,90.0,1.0
454,78.0,524.0,517.0,90.0,2.0
455,78.0,421.0,521.0,90.0,1.0
456,77.0,294.0,52.0,90.0,1.0
457,77.0,290.0,16.0,89.0,1.0
458,77.0,290.0,0.0,89.0,0.0
459,77.0,289.0,0.0,89.0,0.0
460,77.0,289.0,85.0,89.0,0.0
461,77.0,299.0,312.0,89.0,0.0
462,77.0,407.0,264.0,89.0,1.0
463,76.0,453.0,363.0,88.0,1.0
464,79.0,453.0,397.0,88.0,0.0
465,82.0,453.0,595.0,88.0,0.0
466,82.0,453.0,583.0,88.0,0.0
467,84.0,453.0,658.0,88.0,0.0
468,86.0,453.0,576.0,88.0,0.0
469,88.0,453.0,571.0,89.0,0.0
470,86.0,453.0,585.0,85.0,0.0
471,86.0,454.0,569.0,85.0,0.0
472,86.0,454.0,458.0,85.0,0.0
473,87.0,454.0,459.0,85.0,0.0
474,87.0,454.0,457.0,85.0,1.0
475,87.0,447.0,452.0,85.0,3.0
476,87.0,445.0,397.0,86.0,2.0
477,86.0,345.0,256.0,86.0,2.0
478,86.0,302.0,84.0,86.0,2.0
479,87.0,282.0,0.0,86.0,1.0
480,87.0,236.0,0.0,85.0,1.0
481,88.0,235.0,0.0,85.0,2.0
482,88.0,236.0,0.0,86.0,2.0
483,88.0,236.0,25.0,85.0,2.0
484,86.0,235.0,90.0,85.0,1.0
485,85.0,237.0,296.0,84.0,1.0
486,85.0,270.0,308.0,84.0,1.0
487,84.0,383.0,407.0,84.0,2.0
488,85.0,493.0,300.0,84.0,1.0
489,84.0,499.0,303.0,84.0,0.0
490,84.0,393.0,478.0,84.0,0.0
491,84.0,319.0,575.0,84.0,0.0
492,86.0,319.0,561.0,85.0,0.0
493,86.0,320.0,469.0,85.0,0.0
494,88.0,320.0,469.0,85.0,0.0
495,88.0,326.0,469.0,85.0,0.0
496,87.0,326.0,615.0,85.0,0.0
497,87.0,325.0,665.0,85.0,2.0
498,89.0,325.0,668.0,85.0,7.0
499,89.0,325.0,668.0,85.0,7.0
500,90.0,325.0,560.0,85.0,5.0
501,90.0,293.0,157.0,85.0,3.0
502,89.0,293.0,17.0,86.0,5.0
503,90.0,297.0,38.0,86.0,9.0
504,89.0,413.0,362.0,86.0,13.0
505,88.0,529.0,280.0,85.0,10.0
506,88.0,561.0,261.0,85.0,10.0
507,87.0,593.0,423.0,85.0,11.0
508,88.0,621.0,425.0,85.0,15.0
509,89.0,715.0,438.0,85.0,17.0
510,88.0,804.0,728.0,84.0,13.0
511,88.0,924.0,888.0,84.0,14.0
512,88.0,944.0,888.0,84.0,11.0
513,88.0,944.0,800.0,84.0,10.0
514,88.0,944.0,768.0,84.0,10.0
515,88.0,944.0,767.0,84.0,10.0
516,89.0,943.0,768.0,84.0,9.0
517,89.0,943.0,852.0,84.0,11.0
518,89.0,942.0,774.0,85.0,10.0
519,87.0,943.0,768.0,84.0,14.0
520,87.0,942.0,797.0,85.0,16.0
521,89.0,940.0,703.0,85.0,18.0
522,89.0,940.0,626.0,85.0,10.0
523,89.0,940.0,631.0,85.0,7.0
524,94.0,932.0,628.0,91.0,9.0
525,94.0,818.0,187.0,91.0,14.0
526,89.0,744.0,193.0,85.0,14.0
527,89.0,674.0,129.0,85.0,24.0
528,93.0,674.0,127.0,90.0,26.0
529,93.0,675.0,158.0,90.0,16.0
530,88.0,674.0,68.0,86.0,13.0
531,88.0,677.0,68.0,86.0,14.0
532,89.0,770.0,105.0,85.0,11.0
533,89.0,888.0,428.0,85.0,11.0
534,89.0,946.0,464.0,84.0,14.0
535,88.0,951.0,664.0,84.0,21.0
536,88.0,950.0,696.0,83.0,23.0
537,88.0,951.0,700.0,83.0,26.0
538,88.0,901.0,752.0,84.0,21.0
539,88.0,833.0,765.0,84.0,17.0
540,88.0,828.0,769.0,84.0,13.0
541,94.0,831.0,770.0,91.0,12.0
542,93.0,844.0,767.0,90.0,15.0
543,93.0,850.0,763.0,90.0,23.0
544,93.0,857.0,762.0,90.0,25.0
545,94.0,859.0,777.0,90.0,30.0
546,92.0,863.0,775.0,90.0,32.0
547,92.0,859.0,685.0,90.0,35.0
548,93.0,735.0,639.0,90.0,29.0
549,94.0,518.0,238.0,90.0,33.0
550,93.0,377.0,300.0,90.0,39.0
551,93.0,297.0,160.0,90.0,38.0
552,93.0,329.0,69.0,90.0,38.0
553,93.0,329.0,68.0,90.0,42.0
554,92.0,329.0,68.0,90.0,46.0
555,91.0,329.0,76.0,90.0,48.0
556,92.0,337.0,160.0,89.0,49.0
557,93.0,447.0,330.0,89.0,50.0
558,93.0,462.0,359.0,89.0,50.0
559,92.0,582.0,640.0,89.0,51.0
560,92.0,583.0,688.0,89.0,51.0
561,92.0,584.0,733.0,89.0,52.0
562,92.0,585.0,738.0,89.0,52.0
563,92.0,584.0,698.0,89.0,53.0
564,92.0,582.0,765.0,90.0,51.0
565,90.0,581.0,765.0,90.0,48.0
566,89.0,582.0,764.0,90.0,45.0
567,89.0,582.0,711.0,90.0,45.0
568,90.0,582.0,646.0,91.0,46.0
569,89.0,581.0,592.0,91.0,44.0
570,89.0,582.0,590.0,92.0,46.0
571,89.0,575.0,401.0,92.0,50.0
572,88.0,572.0,341.0,92.0,52.0
573,88.0,434.0,251.0,92.0,50.0
574,87.0,330.0,252.0,92.0,52.0
575,83.0,329.0,174.0,92.0,51.0
576,83.0,327.0,69.0,92.0,53.0
577,80.0,328.0,68.0,91.0,53.0
578,79.0,329.0,68.0,92.0,53.0
579,83.0,328.0,68.0,92.0,53.0
580,87.0,328.0,161.0,92.0,53.0
581,86.0,336.0,323.0,91.0,52.0
582,88.0,362.0,409.0,91.0,53.0
583,88.0,403.0,638.0,91.0,53.0
584,88.0,403.0,661.0,91.0,53.0
585,88.0,405.0,663.0,91.0,52.0
586,89.0,403.0,664.0,91.0,50.0
587,90.0,405.0,666.0,91.0,46.0
588,90.0,404.0,646.0,91.0,47.0
589,91.0,405.0,662.0,91.0,48.0
590,90.0,405.0,665.0,89.0,43.0
591,90.0,405.0,603.0,90.0,45.0
592,88.0,405.0,590.0,90.0,39.0
593,89.0,406.0,605.0,90.0,31.0
594,89.0,405.0,608.0,90.0,34.0
595,89.0,399.0,464.0,90.0,33.0
596,86.0,390.0,358.0,91.0,28.0
597,86.0,329.0,354.0,91.0,29.0
