,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
5438,391.0,0.0,4374.0,3587.0,272.0,900.0,2349.0,6936.0,58.0,96.0,5050.0,310.0,1848.0
5439,394.0,0.0,4437.0,3638.0,273.0,886.0,1974.0,6935.0,58.0,95.0,4821.0,304.0,2064.0
5440,393.0,0.0,4471.0,3587.0,278.0,887.0,1675.0,6925.0,58.0,95.0,4321.0,313.0,2445.0
5441,390.0,0.0,4386.0,3594.0,283.0,899.0,1373.0,6926.0,58.0,98.0,3626.0,320.0,2919.0
5442,388.0,0.0,5028.0,3647.0,279.0,899.0,2042.0,6924.0,58.0,98.0,2756.0,320.0,3034.0
5443,390.0,0.0,5555.0,3647.0,284.0,913.0,2863.0,6914.0,58.0,100.0,1388.0,321.0,3305.0
5444,385.0,0.0,5718.0,3695.0,283.0,957.0,3113.0,6919.0,58.0,95.0,706.0,321.0,3697.0
5445,395.0,0.0,5867.0,3764.0,281.0,921.0,3259.0,6930.0,59.0,97.0,572.0,322.0,3412.0
5446,395.0,0.0,5588.0,3713.0,280.0,854.0,3086.0,6937.0,58.0,97.0,566.0,317.0,3156.0
5447,395.0,0.0,5001.0,3768.0,280.0,818.0,2397.0,6943.0,58.0,94.0,562.0,317.0,3015.0
5448,391.0,0.0,4784.0,3714.0,282.0,783.0,1856.0,6947.0,58.0,92.0,560.0,314.0,2992.0
5449,384.0,0.0,4717.0,3631.0,280.0,752.0,944.0,6947.0,58.0,92.0,562.0,303.0,2728.0
5450,386.0,0.0,4499.0,3566.0,280.0,746.0,798.0,6945.0,58.0,91.0,550.0,304.0,2396.0
5451,381.0,0.0,4544.0,3478.0,275.0,744.0,877.0,6944.0,58.0,92.0,453.0,304.0,2170.0
5452,378.0,0.0,4854.0,3511.0,281.0,743.0,1097.0,6944.0,59.0,92.0,360.0,298.0,2005.0
5453,386.0,0.0,5154.0,3602.0,285.0,743.0,2077.0,6946.0,57.0,92.0,161.0,296.0,2072.0
5454,385.0,0.0,5809.0,3686.0,311.0,769.0,2181.0,6947.0,58.0,93.0,76.0,295.0,2139.0
5455,391.0,0.0,7240.0,3731.0,317.0,835.0,1925.0,6944.0,58.0,91.0,407.0,297.0,2148.0
5456,391.0,0.0,7782.0,3767.0,333.0,894.0,2719.0,6942.0,67.0,91.0,1371.0,295.0,1958.0
5457,387.0,0.0,7842.0,3855.0,328.0,932.0,2760.0,6944.0,70.0,90.0,2829.0,300.0,1894.0
5458,381.0,0.0,7929.0,3852.0,323.0,938.0,3128.0,6945.0,69.0,85.0,3483.0,302.0,1867.0
5459,368.0,0.0,8007.0,3891.0,332.0,954.0,3321.0,6946.0,62.0,86.0,4055.0,301.0,1591.0
5460,381.0,0.0,8074.0,3881.0,332.0,946.0,3082.0,6947.0,59.0,87.0,4376.0,305.0,1626.0
5461,381.0,0.0,7955.0,3827.0,331.0,945.0,2762.0,6944.0,66.0,87.0,4407.0,310.0,1869.0
5462,386.0,0.0,7888.0,3825.0,333.0,918.0,2216.0,6951.0,64.0,92.0,4262.0,310.0,2211.0
5463,386.0,0.0,7537.0,3861.0,332.0,896.0,1673.0,6950.0,56.0,94.0,3935.0,308.0,2981.0
5464,386.0,0.0,6893.0,3765.0,328.0,885.0,1263.0,6955.0,56.0,94.0,3380.0,307.0,4274.0
