,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
3514,2258.0,4997.5,50.0,0.0,649.0,502.0,6769.5,90.0,4545.0,3212.5,3904.0
3515,2267.0,5580.5,50.0,0.0,372.0,389.0,6795.5,90.5,5690.0,2852.5,3911.0
3516,2260.5,5797.5,50.0,0.0,483.0,156.0,6808.5,89.0,6375.0,2614.5,4113.0
3517,2255.5,5805.5,50.0,0.0,415.0,61.5,6815.0,89.5,6850.0,2603.0,4210.0
3518,2269.0,5268.0,50.0,0.0,315.5,59.0,6825.0,99.5,6505.0,2585.0,4203.5
3519,2268.0,5439.0,174.5,0.0,303.5,58.5,6830.0,113.5,5610.0,2589.0,4124.5
3520,2093.0,5762.5,470.0,0.0,306.0,57.5,6846.5,128.5,4690.0,2528.5,3863.5
3521,2157.0,7098.0,491.5,0.0,311.5,277.0,6858.0,129.0,3320.0,2466.5,3499.0
3522,1995.5,8617.0,539.5,0.0,446.5,402.5,6858.0,129.5,1865.0,2528.5,3034.0
3523,2269.0,9764.5,543.5,0.0,311.0,401.5,6854.5,130.5,835.5,2303.5,2626.0
3524,2271.5,10456.0,540.5,0.0,585.0,270.0,6857.5,129.5,164.0,1896.5,2443.5
3525,2270.5,10732.0,542.5,0.0,724.0,218.5,6859.5,130.0,9.0,1459.5,2236.5
3526,2216.0,10458.0,546.0,0.0,617.0,119.5,6876.5,130.0,1.5,1385.0,2101.0
3527,2160.0,8717.0,310.0,0.0,0.0,98.0,6879.0,130.5,0.0,1391.5,1939.5
3528,2149.0,7463.0,286.5,0.0,0.0,71.0,6945.0,129.5,0.0,602.5,1242.5
3529,2150.5,7678.5,276.0,0.0,0.0,67.0,6997.5,130.0,0.0,856.0,1454.5
3530,2144.5,7706.5,336.0,0.0,0.0,67.0,7000.5,130.5,2.5,702.0,1295.0
