,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> UK,NL -> UK,demand,UK -> FR,UK -> NL,mismatch
223,934.5169206,27247.05982,5783.048217,923.0254669,10000.35478,120.4557403,0.032404555,2050.404439,2340.823598,2543.920173,1032.01,52969.07,1.18E-10,6.581563491,-2.79E-12
224,890.7008052,28985.32958,7238.432959,959.3046141,9655.842047,115.9864142,102.0253998,1884.489604,1943.413711,2469.973038,1007.75,55247.81,1.40E-10,5.43817409,-6.99E-12
225,867.5006098,28811.95765,7837.700476,899.6996382,9384.899055,112.777696,965.2775972,1667.288833,1690.896643,2439.370994,997.76,55675.08,1.62E-10,0.049187284,2.57E-12
226,840.2262647,28246.84006,7772.707907,793.048111,8862.83653,108.6246643,2069.344154,1506.592703,1448.775001,2348.607619,1002.12,54999.67,2.13E-10,0.053009969,-2.52E-12
227,824.8884403,27707.20747,7756.897278,613.1621849,8643.95558,106.2737446,2744.610484,1235.569404,1297.176856,2309.473918,1012.45,54251.61,2.46E-10,0.055362931,6.51E-12
228,814.4550131,27231.07736,7640.315696,703.0925154,8563.022285,104.9464421,3157.915971,1077.207771,1240.842735,2292.411545,1027.26,53852.49,2.61E-10,0.057329903,8.30E-12
229,822.519911,27384.95491,7462.597279,705.0859733,8823.342098,106.7064658,2439.234441,1034.903755,1293.204727,2331.168446,1022.71,53426.37,2.27E-10,0.058008554,3.55E-12
230,841.4695612,28018.87949,7424.294034,753.9130218,9089.691593,109.0118848,1786.02913,1007.422287,1379.813929,2355.612227,1031.72,53797.8,2.10E-10,0.057163234,5.47E-12
231,858.8436336,29487.42694,8261.435438,835.3002127,9383.694294,112.5347424,593.5232626,1015.942521,1482.236171,2417.436671,1021.19,55469.51,1.78E-10,0.053883022,-2.40E-12
232,888.4600837,31290.03075,9165.348689,1306.573299,9580.158316,116.9227198,10.42115167,1059.938706,1629.936223,2421.051876,1034.15,58502.94,1.76E-10,0.051817418,-2.04E-12
233,868.7059667,31888.90712,9608.56746,2367.525676,9434.487422,121.2096386,2.460680277,1004.947232,1573.009404,2414.807331,999.05,60283.62,1.79E-10,0.057934957,3.24E-12
234,860.1259965,31528.23109,9814.1455,2117.612876,9424.9795,114.9473041,0.048235833,973.5026265,1630.988192,2472.678009,1019.21,59956.41,1.55E-10,0.059333248,6.27E-12
